INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
6081	火爆（NPC）	3	StdImpact003	0	185	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	99	0.706395107	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6082	火爆（NPC）	3	StdImpact003	0	185	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	110	0.706395107	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6083	火爆（NPC）	3	StdImpact003	0	185	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	120	0.706395107	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6084	火爆（NPC）	3	StdImpact003	0	185	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	131	0.706395107	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6085	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	14	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6086	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	25	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6087	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	35	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6088	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	46	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6089	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	57	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6090	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	67	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6091	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	78	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6092	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	88	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6093	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	99	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6094	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	110	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6095	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	120	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6096	雷爆（NPC）	3	StdImpact003	0	184	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	131	0.706395107	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6097	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	14	0.706395107			0			0			0			0			0			0			0			0			0			0	
6098	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	25	0.706395107			0			0			0			0			0			0			0			0			0			0	
6099	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	35	0.706395107			0			0			0			0			0			0			0			0			0			0	
6100	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	46	0.706395107			0			0			0			0			0			0			0			0			0			0	
6101	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	57	0.706395107			0			0			0			0			0			0			0			0			0			0	
6102	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	67	0.706395107			0			0			0			0			0			0			0			0			0			0	
6103	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	78	0.706395107			0			0			0			0			0			0			0			0			0			0	
6104	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	88	0.706395107			0			0			0			0			0			0			0			0			0			0	
6105	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	99	0.706395107			0			0			0			0			0			0			0			0			0			0	
6106	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	110	0.706395107			0			0			0			0			0			0			0			0			0			0	
6107	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	120	0.706395107			0			0			0			0			0			0			0			0			0			0	
6108	毒爆（NPC)	3	StdImpact003	0	183	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	131	0.706395107			0			0			0			0			0			0			0			0			0			0	
6109	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	435	21.50712661	魔法攻击+	435	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6110	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	757	21.50712661	魔法攻击+	757	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6111	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1072	21.50712661	魔法攻击+	1072	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6112	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1395	21.50712661	魔法攻击+	1395	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6113	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1718	21.50712661	魔法攻击+	1718	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6114	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	2033	21.50712661	魔法攻击+	2033	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6115	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	2355	21.50712661	魔法攻击+	2355	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6116	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	2670	21.50712661	魔法攻击+	2670	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6117	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	2993	21.50712661	魔法攻击+	2993	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6118	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	3316	21.50712661	魔法攻击+	3316	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6119	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	3631	21.50712661	魔法攻击+	3631	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6120	群魔乱舞（NPC）	3	StdImpact003	0	189	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	3953	21.50712661	魔法攻击+	3953	21.50712661	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6121	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	217	10.7535633	魔法攻击+	217	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6122	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	378	10.7535633	魔法攻击+	378	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6123	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	536	10.7535633	魔法攻击+	536	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6124	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	697	10.7535633	魔法攻击+	697	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6125	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	859	10.7535633	魔法攻击+	859	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6126	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1016	10.7535633	魔法攻击+	1016	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6127	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1177	10.7535633	魔法攻击+	1177	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6128	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1335	10.7535633	魔法攻击+	1335	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6129	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1496	10.7535633	魔法攻击+	1496	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6130	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1658	10.7535633	魔法攻击+	1658	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6131	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1815	10.7535633	魔法攻击+	1815	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6132	震地攻击（NPC）	3	StdImpact003	0	187	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	1976	10.7535633	魔法攻击+	1976	10.7535633	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	
6133	封穴(NPC)	14	StdImpact014	1	13	-1	13	10	-1	0	1	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6134	封穴(NPC)	14	StdImpact014	1	13	-1	13	20	-1	0	1	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6135	封穴(NPC)	14	StdImpact014	1	13	-1	13	30	-1	0	1	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6136	封穴(NPC)	14	StdImpact014	1	13	-1	13	40	-1	0	1	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6137	封穴(NPC)	14	StdImpact014	1	13	-1	13	50	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6138	封穴(NPC)	14	StdImpact014	1	13	-1	13	60	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6139	封穴(NPC)	14	StdImpact014	1	13	-1	13	70	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6140	封穴(NPC)	14	StdImpact014	1	13	-1	13	80	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6141	封穴(NPC)	14	StdImpact014	1	13	-1	13	90	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6142	封穴(NPC)	14	StdImpact014	1	13	-1	13	100	-1	0	1	0	0	0	0	0	0	0	7000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6143	封穴(NPC)	14	StdImpact014	1	13	-1	13	110	-1	0	1	0	0	0	0	0	0	0	7000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6144	封穴(NPC)	14	StdImpact014	1	13	-1	13	120	-1	0	1	0	0	0	0	0	0	0	7000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6145	麻痹(NPC)	14	StdImpact014	1	14	-1	14	10	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6146	麻痹(NPC)	14	StdImpact014	1	14	-1	14	20	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
6147	麻痹(NPC)	14	StdImpact014	1	14	-1	14	30	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
