INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
151	1600	9628	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	5331	385671	29853	1157015	29853	1157015	7996	578507	7996	578507	29853	1157015	31984	1542687	31984	1542687	31984	1542687	31984	1542687	31984	1542687	31984	1542687	31984	1542687	31984	1542687	31984	1542687
152	1600	9628	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	5448	385671	30506	1157015	30506	1157015	8171	578507	8171	578507	30506	1157015	32683	1542687	32683	1542687	32683	1542687	32683	1542687	32683	1542687	32683	1542687	32683	1542687	32683	1542687	32683	1542687
153	1600	9628	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	5565	385671	31159	1157015	31159	1157015	8346	578507	8346	578507	31159	1157015	33382	1542687	33382	1542687	33382	1542687	33382	1542687	33382	1542687	33382	1542687	33382	1542687	33382	1542687	33382	1542687
154	1600	9628	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	5682	385671	31812	1157015	31812	1157015	8521	578507	8521	578507	31812	1157015	34081	1542687	34081	1542687	34081	1542687	34081	1542687	34081	1542687	34081	1542687	34081	1542687	34081	1542687	34081	1542687
155	1600	9628	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	5799	385671	32465	1157015	32465	1157015	8696	578507	8696	578507	32465	1157015	34780	1542687	34780	1542687	34780	1542687	34780	1542687	34780	1542687	34780	1542687	34780	1542687	34780	1542687	34780	1542687
156	1600	9628	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	5916	385671	33118	1157015	33118	1157015	8871	578507	8871	578507	33118	1157015	35479	1542687	35479	1542687	35479	1542687	35479	1542687	35479	1542687	35479	1542687	35479	1542687	35479	1542687	35479	1542687
157	1600	9628	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	6033	385671	33771	1157015	33771	1157015	9046	578507	9046	578507	33771	1157015	36178	1542687	36178	1542687	36178	1542687	36178	1542687	36178	1542687	36178	1542687	36178	1542687	36178	1542687	36178	1542687
158	1600	9628	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	6150	385671	34424	1157015	34424	1157015	9221	578507	9221	578507	34424	1157015	36877	1542687	36877	1542687	36877	1542687	36877	1542687	36877	1542687	36877	1542687	36877	1542687	36877	1542687	36877	1542687
159	1600	9628	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	6267	385671	35077	1157015	35077	1157015	9396	578507	9396	578507	35077	1157015	37576	1542687	37576	1542687	37576	1542687	37576	1542687	37576	1542687	37576	1542687	37576	1542687	37576	1542687	37576	1542687
160	1600	9628	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	6384	385671	35730	1157015	35730	1157015	9571	578507	9571	578507	35730	1157015	38275	1542687	38275	1542687	38275	1542687	38275	1542687	38275	1542687	38275	1542687	38275	1542687	38275	1542687	38275	1542687
161	1600	9628	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	6501	385671	36383	1157015	36383	1157015	9746	578507	9746	578507	36383	1157015	38974	1542687	38974	1542687	38974	1542687	38974	1542687	38974	1542687	38974	1542687	38974	1542687	38974	1542687	38974	1542687
162	1600	9628	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	6618	385671	37036	1157015	37036	1157015	9921	578507	9921	578507	37036	1157015	39673	1542687	39673	1542687	39673	1542687	39673	1542687	39673	1542687	39673	1542687	39673	1542687	39673	1542687	39673	1542687
163	1600	9628	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	6735	385671	37689	1157015	37689	1157015	10096	578507	10096	578507	37689	1157015	40372	1542687	40372	1542687	40372	1542687	40372	1542687	40372	1542687	40372	1542687	40372	1542687	40372	1542687	40372	1542687
164	1600	9628	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	6852	385671	38342	1157015	38342	1157015	10271	578507	10271	578507	38342	1157015	41071	1542687	41071	1542687	41071	1542687	41071	1542687	41071	1542687	41071	1542687	41071	1542687	41071	1542687	41071	1542687
165	1600	9628	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	6969	385671	38995	1157015	38995	1157015	10446	578507	10446	578507	38995	1157015	41770	1542687	41770	1542687	41770	1542687	41770	1542687	41770	1542687	41770	1542687	41770	1542687	41770	1542687	41770	1542687
166	1600	9628	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	7086	385671	39648	1157015	39648	1157015	10621	578507	10621	578507	39648	1157015	42469	1542687	42469	1542687	42469	1542687	42469	1542687	42469	1542687	42469	1542687	42469	1542687	42469	1542687	42469	1542687
167	1600	9628	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	7203	385671	40301	1157015	40301	1157015	10796	578507	10796	578507	40301	1157015	43168	1542687	43168	1542687	43168	1542687	43168	1542687	43168	1542687	43168	1542687	43168	1542687	43168	1542687	43168	1542687
168	1600	9628	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	7320	385671	40954	1157015	40954	1157015	10971	578507	10971	578507	40954	1157015	43867	1542687	43867	1542687	43867	1542687	43867	1542687	43867	1542687	43867	1542687	43867	1542687	43867	1542687	43867	1542687
169	1600	9628	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	7437	385671	41607	1157015	41607	1157015	11146	578507	11146	578507	41607	1157015	44566	1542687	44566	1542687	44566	1542687	44566	1542687	44566	1542687	44566	1542687	44566	1542687	44566	1542687	44566	1542687
170	1600	9628	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	7554	385671	42260	1157015	42260	1157015	11321	578507	11321	578507	42260	1157015	45265	1542687	45265	1542687	45265	1542687	45265	1542687	45265	1542687	45265	1542687	45265	1542687	45265	1542687	45265	1542687
171	1600	9628	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	7671	385671	42913	1157015	42913	1157015	11496	578507	11496	578507	42913	1157015	45964	1542687	45964	1542687	45964	1542687	45964	1542687	45964	1542687	45964	1542687	45964	1542687	45964	1542687	45964	1542687
172	1600	9628	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	7788	385671	43566	1157015	43566	1157015	11671	578507	11671	578507	43566	1157015	46663	1542687	46663	1542687	46663	1542687	46663	1542687	46663	1542687	46663	1542687	46663	1542687	46663	1542687	46663	1542687
173	1600	9628	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	7905	385671	44219	1157015	44219	1157015	11846	578507	11846	578507	44219	1157015	47362	1542687	47362	1542687	47362	1542687	47362	1542687	47362	1542687	47362	1542687	47362	1542687	47362	1542687	47362	1542687
174	1600	9628	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	8022	385671	44872	1157015	44872	1157015	12021	578507	12021	578507	44872	1157015	48061	1542687	48061	1542687	48061	1542687	48061	1542687	48061	1542687	48061	1542687	48061	1542687	48061	1542687	48061	1542687
175	1600	9628	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	8139	385671	45525	1157015	45525	1157015	12196	578507	12196	578507	45525	1157015	48760	1542687	48760	1542687	48760	1542687	48760	1542687	48760	1542687	48760	1542687	48760	1542687	48760	1542687	48760	1542687
176	1600	9628	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	8256	385671	46178	1157015	46178	1157015	12371	578507	12371	578507	46178	1157015	49459	1542687	49459	1542687	49459	1542687	49459	1542687	49459	1542687	49459	1542687	49459	1542687	49459	1542687	49459	1542687
177	1600	9628	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	8373	385671	46831	1157015	46831	1157015	12546	578507	12546	578507	46831	1157015	50158	1542687	50158	1542687	50158	1542687	50158	1542687	50158	1542687	50158	1542687	50158	1542687	50158	1542687	50158	1542687
178	1600	9628	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	8490	385671	47484	1157015	47484	1157015	12721	578507	12721	578507	47484	1157015	50857	1542687	50857	1542687	50857	1542687	50857	1542687	50857	1542687	50857	1542687	50857	1542687	50857	1542687	50857	1542687
179	1600	9628	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	8607	385671	48137	1157015	48137	1157015	12896	578507	12896	578507	48137	1157015	51556	1542687	51556	1542687	51556	1542687	51556	1542687	51556	1542687	51556	1542687	51556	1542687	51556	1542687	51556	1542687
180	1600	9628	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	8724	385671	48790	1157015	48790	1157015	13071	578507	13071	578507	48790	1157015	52255	1542687	52255	1542687	52255	1542687	52255	1542687	52255	1542687	52255	1542687	52255	1542687	52255	1542687	52255	1542687
181	1600	9628	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	8841	385671	49443	1157015	49443	1157015	13246	578507	13246	578507	49443	1157015	52954	1542687	52954	1542687	52954	1542687	52954	1542687	52954	1542687	52954	1542687	52954	1542687	52954	1542687	52954	1542687
182	1600	9628	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	8958	385671	50096	1157015	50096	1157015	13421	578507	13421	578507	50096	1157015	53653	1542687	53653	1542687	53653	1542687	53653	1542687	53653	1542687	53653	1542687	53653	1542687	53653	1542687	53653	1542687
